,Title,Rank,Score,Medium,Number of Episodes,Episode Length,Start Date,End Date,Premier Season,Source Material,Age Rating,Number of Members,URLS,Synopses,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7,Genre 8,Total Minutes,Synopsis Length
100,Meitantei Holmes: Aoi Ruby no Maki / Kaitei no Zaihou no Maki,5301,6.61,Movie,1,"46 min.
 ",Mar 1984,Mar 1984,Unavailable,Novel,G ,1153,https://myanimelist.net/anime/15347/Meitantei_Holmes__Aoi_Ruby_no_Maki___Kaitei_no_Zaihou_no_Maki,"The famous blue ruby is stolen in such an elaborate way, that only one villain can be suspected - Professor Moriarty. It is up to Sherlock Holmes to return it and, in the process, to turn a young pick-pocket on the right path. In the second part, Moriarty sets his sights even higher, stealing a top-secret submarine from the Navy. What does he need it for? Holmes is once again on the trail.",Adventure,Mystery,Comedy,,,,,,46,73
101,Mushikago no Cagaster,5302,6.61,ONA,12,28 min. per ep.,Feb 2020,Feb 2020,Unavailable,Manga,Unavailable,19346,https://myanimelist.net/anime/38663/Mushikago_no_Cagaster,"In a near future, an illness called ""Cagaster"" made ​​its appearance. It turns humans into insects. The story begins 30 years after the onset of the illness, in 2125. It follows the adventures of Kidou, a boy who fights insects. (Source:",Action,Sci-Fi,Drama,,,,,,336,41
102,Nanaka 6/17,5303,6.61,TV,12,25 min. per ep.,Jan 2003,Mar 2003,Winter,Manga,PG-13,7735,https://myanimelist.net/anime/776/Nanaka_6_17,"Seventeen-year-old Nanaka Kirisato is a high school student serious about her studies and goals in life. She frequently criticizes her best friend, Nenji Nagihara, for being a childish delinquent who spends his time fighting other boys. Then one day, after a heated argument with Nenji, she falls off a flight of stairs and suffers a brain injury, resulting in her mind reverting to that of a six-year-old. With this in mind, Nanaka's father and Nenji must keep her injury a secret as she struggles to live a normal life and grow up all over again.",Slice of Life,Comedy,Drama,Romance,Shounen,,,,300,95
103,Nanaka 6/17 Special,5304,6.61,Special,1,"25 min.
 ",Jun 2003,Jun 2003,Unavailable,Manga,PG-13,1670,https://myanimelist.net/anime/5865/Nanaka_6_17_Special,Unaired series episode included in the DVD release.,Comedy,Drama,Romance,Shounen,Slice of Life,,,,25,8
104,Nijiiro Days: Houkago Special,5305,6.61,Special,1,"13 min.
 ",Apr 2016,Apr 2016,Unavailable,Manga,PG-13,5843,https://myanimelist.net/anime/33102/Nijiiro_Days__Houkago_Special,Recap of the first 12 episodes of Nijiiro Days.,Slice of Life,Comedy,Romance,School,Shoujo,,,,13,9
105,Nil Admirari no Tenbin,5306,6.61,TV,12,23 min. per ep.,Apr 2018,Jun 2018,Spring,Visual novel,PG-13,28858,https://myanimelist.net/anime/33850/Nil_Admirari_no_Tenbin,"The Taishou era didn't end in 15 years, but went on for another 25. In order to protect her waning family, a girl resolves to marry a man she doesn't even know the name of. However, just before the marriage was to take place, the girl's younger brother mysteriously committed suicide by self-immolation and was found holding an old book in his hands. Appearing before the bewildered young girl was the ""Imperial Library Intelligence Asset Management Bureau,"" more commonly referred to as ""Fukurou."" According to these men, there exists ""Maremono,"" which are books that greatly affect their readers. On top of that, ever since the incident involving the girl's younger brother, she unwittingly gains the ability to see ""Auras"" (the sentiments of the Maremono which manifest as bright lights and are usually invisible to humans). It was as though fate were trying to drag the young girl in its flames. And then, even though apprehensive, the girl chooses to venture outside her bird cage. Jealousy, hatred, scorn, compassion, and love. What awaited the girl was the darkness of betrayal that had already begun to bewitchingly inlay the imperial capital. Toyed by and swayed within that darkness, will the young girl finally reach the truth after her struggles, or...? (Source:",Harem,Historical,Romance,Fantasy,Josei,,,,276,209
106,Ninpuu Kamui Gaiden,5307,6.61,TV,26,25 min. per ep.,Apr 1969,Sep 1969,Spring,Manga,R,1407,https://myanimelist.net/anime/5023/Ninpuu_Kamui_Gaiden,Kamui is a ninja from the Edo period who has decided to leave his clan. After doing so he is pursued relentlessly by the members of his former clan; who consider him to be a traitor and therefore wish to kill him. Kamui then wanders around Japan to escape from them by using his intelligence and great abilities to survive. In the course of the series Kamui begins to suffer from paranoia because of his status as a persecuted man. Kamui then started to believe that everybody wished to murder him and became distrusting of everyone he came across.,Action,Adventure,Historical,Martial Arts,Samurai,,,,650,99
107,Nyanko Days,5308,6.61,TV,12,2 min. per ep.,Jan 2017,Mar 2017,Winter,4-koma manga,PG-13,54217,https://myanimelist.net/anime/34148/Nyanko_Days,"Konagai Tomoko is a first-year in high school and a shy girl. Tomoko owns three cats. The cheerful and live Munchkin Maa, the smart and responsible Russian Blue Rou, and the gentle crybaby Singapura Shii. Tomoko, whose only friends were her cats, one day becomes friends with Shiratori Azumi, who also loves cats. This is a fluffy and cute comedy about the daily life of Tomoko and her cats, Tomoko and Azumi's friendship, and the interaction between cats.",Slice of Life,Comedy,,,,,,,24,78
108,Ojisan to Marshmallow,5309,6.61,TV,12,3 min. per ep.,Jan 2016,Mar 2016,Winter,Web manga,PG-13,52452,https://myanimelist.net/anime/31848/Ojisan_to_Marshmallow,"Habahiro Hige is a simple-minded older man who works an office job and is an enthusiast of Tabekko Marshmallows. His days often consist of being teased by his 24-year-old colleague Iori Wakabayashi, who uses his obsession to her advantage: from eating them in front of his face, to buying out his favorite brand from the convenience store, and even embarrassing him in front of their boss. Although her friends cannot fathom what she sees in him, she just cannot get over his marshmallow-like, fluffy frame. No matter the lengths it takes, Iori will find a way to get his attention. Little does Habahiro know that she is trying to seduce him into a romantic relationship with her. The way to a man's heart is through his stomach, right? At least this is what Iori would honestly like to believe. With a bag in hand, Iori continues to make him chase after her day after day, hoping that he will finally see through her attempts. Will he ever realize that their relationship can become s'more?",Slice of Life,Comedy,Romance,,,,,,36,174
109,One Piece: Cry Heart,5310,6.61,Special,3,5 min. per ep.,Jan 2014,Apr 2015,Unavailable,Manga,PG-13,6254,https://myanimelist.net/anime/22661/One_Piece__Cry_Heart,"Episode 1: Fuyujima ni Furu Sakura Diligent animators took Banpresto's ""One Piece Cry heart ~Fuyujima ni Furu Sakura~"" (One Piece Cry heart ~The Cherry Blossoms That Fall on Winter Island~) line of crane game prize figures and created a five-minute stop-motion short. The short recreates the famous ""Hiluluk's Cherry Blossoms"" scene from Eiichiro Oda's manga and anime One Piece. Episode 2: Fuyujima ni Furu Sakura A stop-motion animated video for Banpresto's ""One Piece Cry heart ~children's dream~"" line of crane game prize figures. The short recreates the famous ""Oath of Brothers"" scene from Eiichiro Oda's manga and anime. Episode 3: Ace no Saigo",Fantasy,Shounen,,,,,,,15,103
110,Piyoko ni Omakase pyo!,5311,6.61,OVA,8,15 min. per ep.,Mar 2003,May 2003,Unavailable,Unavailable,PG-13,2118,https://myanimelist.net/anime/1748/Piyoko_ni_Omakase_pyo,"Leave it to Piyoko! Move over, Di Gi Charat! Piyoko and the Black Gema Gema Gang star in this new OVA series. From the Planet Analogue to Earth, the Black Gema Gema Gang try to kidnap Dejiko and hold her ransom to find their dream of a prosperous home!",Comedy,Sci-Fi,Shounen,,,,,,120,49
111,Pokonyan!,5312,6.61,TV,170,10 min. per ep.,Apr 1993,Mar 1996,Spring,Unavailable,PG ,645,https://myanimelist.net/anime/6779/Pokonyan,"Rocky Rackat (Pokonyan) is a funny little creature that's a bit of a cross between a cat and a raccoon. There are rumors that he may be a lunar cat, however this is not a documented fact, he may be a bit looney at times, yet his origin remains a mystery. Rocky is quite innocent and unaware of the value of his special powers. He has the ability to turn children's fantasies into realities. The sky is the limit in the adventures he can create! Our story begins when Amy (Miki), a spirited young girl, joins her family on a camping trip. To her surprise, Amy discovers Rocky in her backpack among her camping gear. Rocky thinks Amy is his sister and he follows her everywhere. Amy is active and curious, yet she has a tendency to become frustrated and fed-up with the world around her. With Rocky's arrival, Amy's world changes drastically. Rocky uses his powers to turn Amy's dreams into real life adventures. Although Rocky's efforts are well intended, his efforts are not always successful. Occasionally these adventures ""short-circuit"" and become near disasters! Through ""thick and thin"" Rocky and Amy become quite a pair and develop a long lasting friendship, experiencing a wide assortment of fun-filled escapades. [Source: Enoki Films USA]",Comedy,Fantasy,Kids,Magic,,,,,1700,213
112,Saber Marionette R,5313,6.61,OVA,3,30 min. per ep.,May 1995,Sep 1995,Unavailable,Unavailable,PG-13,6864,https://myanimelist.net/anime/1232/Saber_Marionette_R,"Jr., the heir of Romana and his battle sabers Cherry and Lime, who have girl circuits are enjoying their peaceful life in Romana. Suddenly, the evil Star-Face and his sexadolls attack Romana in order to take over so Star-Face can become the next High Official. In order to truly become the next High Official and ruler of Romana, he must first eliminate Jr. This begins a battle for, not only Jr.'s life, but for all of Romana.",Action,Comedy,Harem,Mecha,Sci-Fi,,,,90,77
